Comment Number,Comment Text
1,"Cartoon Network
Verified account
There's no such thing as perfect, you're beautiful as you are, Courage. With all of your imperfections, you can do anything you want to do!
6.8K"
2,"Thank you for making the greatest show and giving us the great quotes to live on, “The Things I do for Love”
Rest in Peace Sir
GIPHY"
3,"RIP David. Thank you for being the amazing voice of not just cowardly, but the bravest cartoon dog in Cartoon Network and animated history. Rest easy you amazing Cartoon Network veteran!
GIPHY"
4,"It took me up to a couple years ago to realize courage loved Muriel so much he would do anything to save her.. and that if you’re scared of something, don’t let it stand in your way
1K"
5,"Me and my grandmother would always watch this show together when I was a child, I always saw her as Muriel and me as Courage. It was just one of our shows we enjoyed together, her favorite episode I remember was ""So in Louvre are we two"" everytime it c…
See more"
6,"Wife showed me so I'm commenting on her account. This was a very unique era of cartoon entertainment and Courage definitely helped me cope with trauma and how to cope with an existential crisis.
In a world chasing perfection and forgetting good values…
See more"
7,"The scary part is Courage the Cowardly Dog has returned to my country's Cartoon Network for the past two months... And after 19 years I realized it is definitely the most ingenious surreal comedy horror cartoon ever. I even posted my review for it on I…
See more"
8,Courage was my absolute favorite cartoon as a kid Rest in Paradise man.
9,"What a great show I remember, watching this as a kid I will forever cherish the memories you gave me and I just recently started showing my kids, courage, a cowardly dog, and they love it. May you rest in peace"
10,"I just met the voice for Courage last weekend. Definitely one of my favorite shows growing up. Thank you for bringing these characters to life, even if I had a couple of nightmares along the way. The things we do for love"
11,"Thank you, Mr. Cohen. I was a teenager when Courage started, but your impact started in my childhood with Pee-Wee’s Playhouse, Tiny Toons, and others. I watched Courage the Cowardly Dog with my baby sister and even used it as a teacher in my literature…
See more"
12,"Rest in peace David! You helped me find my courage when I was little, thank you for voicing one of my favorite cartoons"
13,"my childhood the things we do for love, this is so heart wrenching
GIPHY"
14,"This show taught me one thing... resilience. That it's okay to be scared and to get through it.
Rest well, Mr. Cohen."
15,The whole family is now reunited. Thank you for the amazing memories. Courage marathon tonight!
16,My grandma and I watched this every week when it aired on Cartoon Network when it first released. The memories this show has in my heart with a special woman. Thank you for Courage
17,"Bravery isn’t about not having fear, bravery is having fear but doing it anyway that’s what this show has taught me RIP"
18,"I watched a few episodes of COURAGE The Cowardly Dog to revisit my childhood memories just a week ago , didn't think it was a foreshadowing of his passing. REST IN PEACE BRO. Thank you for teaching us the true meaning of ""COURAGE""."
19,STOP IT Courage was my FAVORITE cartoon growing up and honestly it still is. I literally just binged the entire series again like 3 weeks ago. R.I.P. man. You made such a beautiful world for all of us to love and enjoy
20,"Courage the cowardly dog made up a huge part of my childhood. I would not miss an episode for the world. Leaving a legacy like that behind, he definitely deserves to rest in peace."
21,"Thank you so much for one of my favorite shows of all time. My two little boys also love Courage Doggy, honestly made me super happy to hear them chanting courage doggy when I asked what they wanted to watch. Courage is a huge part of the foundation th…
See more"
22,R.I.P. David Steven Cohen. Thank you for voicing one of my favorite cartoons as a kid.
23,"Will probably never forget this show and all the other classic cartoons.
Thank you for making my childhood better. Rest easy"
24,"Thank you for making my childhood great, and showing me through courage that I could have COURAGE to face scary things in life no matter how wierd or crazy things may get. ♡"
25,"Fell in love with the characters as a ""what-a-cartoon"" short. Overjoyed when it became a full series. Defo one of the best CN shows. Thank you for the awesome episodes. RIP"
26,My favorite show growing thank you so much God Bless You and Rest In Peace
27,My childhood Thanks for everything David Courage is one of the best cartoon in the world My favorite forever due to your knowledges and trama Rest is Peace David
28,Omg my grandma always called me courage . Thank you for the memories
29,"All I know is I immediately said a prayer for Mr. David Steven Cohen's soul. I loved Courage the Cowardly Dog so very much as a kid and this brings a great amount of sorrow to my heart. Rest easy David and thank you so very much, from the bottom of my …
See more"
30,RIP to the best there was.
31,He brought so much joy to my life when I was a kid Rest in peace
32,My childhood i loved courage
33,RIP David. You will be missed. Thank you for the voice of Courage the Cowardly Dog
34,"This show managed to scare me, but mostly because I was always worried for poor Courage, and that just goes to show he made a character we cared about.
Rest in peace"
35,Thank you for making my childhood full of valuable lessons and showing me its okay to face my fears with Courage!
36,"The Last of the Starmakers, This was undoubtedly one of his best Chapters, demonstrating the good deed that Courage does despite his Cowardice, by helping the Hatchlings of a Space Squid that is the last of its species, something that we have already s…
See more"
37,Omg Rest in peace and thank you for making my childhood full of beautiful memories One of my favorites cartoon in CN
