Comment Number,Comment Text
1,"  · 26:56
BRAVO General Torre
you‘re a good man"
2,"  · 21:25
Inaani n ni Gen Torre ang maganda niang itinanim."
3,"  · 36:56
Wala ky batasan imong ge bira bira ang senena sa Atty ni FRRD wala ky batasan"
4,"  · 9:09
Katawa pa ka Ron..bilog Ang mundo"
5,"  · 12:21
Hahaha binubuhat ang sariling upuan.
Idol"
6,"  · 2:41
Rest in peace"
7,"  · 23:15
Bagong bida ni rappler"
8,"  · 26:40
Kung mananalo???"
9,"  · 7:27
Saba imo pa ron...iyak
Ka sunod"
10,"  · 11:56
Tama Ang ginawa nila marami ang nagpapicture sa mall"
11,"  · 44:22
who is the next gen. torre?"
12,"  · 6:51
Plano ha edi mg cooperation kayo"
13,"  · 19:34
good luck sa next jorney mo"
14,"  · 32:01
legal process... walai backbone"
15,"  · 17:29
Pana panahon lng yaan."
16,"  · 6:04
Tatay ni diwata"
17,"  · 14:23
Tingnan nalang natin.."
18,"  · 10:47
Asa daw imong picture gahapon bi"
19,"  · 10:18
Tama po"
20,"  · 11:44
ang nag idol nimo mga adik ra kay nalipay cla"
21,"  · 8:46
Pacquiao for president"
22,"  · 5:24
Nxt PNPC?"
23,"  · 13:09
Ug Ikaw lang mo alarma ug maihap ramo kaya kaayo mo sa taong bayan kalagkarin"
24,"  · 17:54
Bilog ang mundo"
25,"  · 38:54
huwag ka nang umasa pa"
26,"  · 44:03
Uli og talomo og taga talomo ka,,,diri na isulti cge lang mo abot ra panahon para sa imo mo hilak pod ka"
27,"  · 42:03
Torre hihilain ka na ni kitty"
28,"  · 14:18
Kaw ang nang haras lge"
29,"  · 34:51
bweset na gobyerno"
30,"  · 24:42
alingogngog raman ka diha"
31,"  · 8:11
mag tinda Ka Ng pares"
32,"  · 15:05
Anung bagong menu diwata"
33,"  · 26:13
Puli nato sa marbel"
34,"  · 11:47
Hinay hinay di naman nababasa ni General yan. Hahaha"
35,"  · 10:56
akala mo lang yon"
36,"  · 31:26
good luck sa u torre"
37,"  · 45:25
Wow.."
38,"  · 41:22
cge.. Bulgaria muna lahat"
39,"  · 38:41
kapalit mukha"
40,"  · 15:34
Walangm maniwala sa inyu. Diwata"
41,"  · 10:21
mga adik at pusher lang ang papabor"
42,"  · 29:10
Sisunod na si Bato"
43,"  · 18:21
wow galing bagag nawong"
44,"  · 10:57
Butbut sa imo"
45,"  · 31:27
Chippy Mcdonalds po sana mahuli. Curious lng ako sa ichuea nya General"
46,"  · 6:52
nong biyaran ako..Gawin ko d ba torre"
47,"  · 8:28
Sinasakal"
48,"  · 6:34
magsama sama kayo"
49,"  · 14:19
walang natirang dingalit galit na galit"
50,"  · 15:45
NASA Tama sa imong Bati nga nawng"
51,"  · 44:05
Sarado naba ang pares?"
52,"  · 14:04
pati pamilya mo iloloko mo na wlaang galit syo"
53,"  · 14:41
mayabang"
54,"  · 14:32
mayabang ka lang kasi may baril ka"
55,"  · 13:21
Kwento mo Yan syempre ikaw ang bida Jan"
56,"  · 37:00
sinalikway sa Diyos"
57,"  · 23:36
Sikat ka nga pero bobong general ka"
58,"  · 10:41
Weh?"
59,"  · 21:28
Hahaha takot"
60,"  · 41:00
Go gen"
61,"  · 35:43
yes of course para sa kinabukasan nang bansa"
62,"  · 17:33
bula2x lang ng baba nimo"
63,"  · 9:50
Botbot nimo"
64,"  · 23:42
Pag kina re kare Yung balat nito Isang taon pa lalambot"
65,"  · 11:31
Idol olol"
66,"  · 12:44
mas marani daw nag idol sa kanya lol"
67,"  · 14:49
mukhang pera"
68,"  · 10:43
Patingin ng picture Sir"
69,"  · 12:26
Mabuhay Gen Torre"
70,"  · 12:08
paano eh hihilain mo nga"
71,"  · 24:37
Pagpalain po kayo ng ating Mahal na Diyos
Maraming salamat po
SALUDO"
72,"  · 13:17
Sa Ngayon sir Tama ka! pgdating ng panahon bka mahirapan kna huminga sa mga ginagawa mo."
73,"  · 24:12
Ang daming #atang"
74,"  · 12:44
Wait na lang natin hatol kay digs..."
75,"  · 18:40
Wag ka muna retire sir hintayin mo muna 2028"
76,"  · 10:25
Hahahahahahahahhaa pag hilom"
77,"  · 13:53
Criminal na po ba yung inaresto nyo?..."
78,"  · 13:51
Weh"
79,"  · 30:12
Walay lami. Uli na lang ka sa marbel hnhntay ka ng kababayan mo."
80,"  · 9:58
Tikal ka sir. Ikaw lang nagsabi ng mas madami ang pabor sa pag aresto sa knya"
81,"  · 11:20
tama ginawa mo sir salute to you pero saaa inext si bato at roque"
82,"  · 20:11
Upon retirement pwd k ng mag senador, Gen. You will get my vote."
83,"  · 11:49
Dako siguro ang lagay nito!"
84,"  · 14:08
Pulis pangkalawakan"
85,"  · 10:30
Bobong survey nasagap nya hahahaha"
86,"  · 25:37
TULOY MO NLNG YUNG VENDOR PARTYLIST MO SIR"
87,"  · 11:11
Hahahaha..nakakatuwa"
88,"  · 33:32
Tama ka na.... Ilabas m ng masama ka sa ICC..."
89,"  · 10:12
Apakayabang haha Yung survey daw kunti lang marami daw pabor sa kanila hahaha lumabas ka na Lang sa kalsada haha"
90,"  · 10:39
WE are really tired of supporting violent moves..Enough!!!"
91,"  · 18:38
R.I.P nalng pagkatapos nang termino mo"
92,"  · 19:11
Wala LNG kayong masabi dahil he did what the law has dictated .mayabang ..kpag ngsalita ng according to the law Pero kapag ngmumura papalakpakan ninyo.how stup*d thinking"
93,"  · 3:32
hilom mo oy"
94,"  · 22:59
Abangan mo sa 2028"
95,"  · 17:19
Hay naku! Huwag ng mambola pa...Darating din ang panahon mo...Sabi nga nila Sipsip lang daw...O baka nong panahon ni Digong, d ka napansin..Ayaw lang ta..."
96,"  · 11:07
Mas maingay ang kaldero pag walang laman!"
97,"  · 9:17
Mabuhay po kayo Sir'"
98,"  · 10:33
Wahahahahahhahaha idol nka ana?"
99,"  · 10:10
Kuhang kuha mo inis ko General."
100,"  · 28:15
Obvious talaga mga 8080 kasi nonsense mga sinasabi."
